Relave,Mes,Cagua
Talabre,1,2121.69
Talabre,2,2129.46953000071
Talabre,3,2137.27758494475
Talabre,4,2145.1142694236
Talabre,5,2152.9796884122
Talabre,6,2160.87394727043
Talabre,7,2168.79715174447
Talabre,8,2176.74940796826
Talabre,9,2184.73082246487
Talabre,10,2192.74150214797
Talabre,11,2200.78155432324
Talabre,12,2208.85108668983
Pampa Austral,1,1362.58
Pampa Austral,2,1367.57612666712
Pampa Austral,3,1372.59057246536
Pampa Austral,4,1377.62340456485
Pampa Austral,5,1382.67469038205
Pampa Austral,6,1387.74449758058
Pampa Austral,7,1392.83289407217
Pampa Austral,8,1397.93994801757
Pampa Austral,9,1403.6572782743
Pampa Austral,10,1408.21030216326
Pampa Austral,11,1413.37373993833
Pampa Austral,12,1418.55611031858
Potrerillos II,1,1362.58
Potrerillos II,2,1367.57612666712
Potrerillos II,3,1372.59057246536
Potrerillos II,4,1377.62340456485
Potrerillos II,5,1382.67469038205
Potrerillos II,6,1387.74449758058
Potrerillos II,7,1392.83289407217
Potrerillos II,8,1397.93994801757
Potrerillos II,9,1403.6572782743
Potrerillos II,10,1408.21030216326
Potrerillos II,11,1413.37373993833
Potrerillos II,12,1418.55611031858
Ovejeria,1,445.
Ovejeria,2,446.631666666815
Ovejeria,3,448.269316111409
Ovejeria,4,449.912970270634
Ovejeria,5,451.562651161776
Ovejeria,6,453.218380882853
Ovejeria,7,454.880181612908
Ovejeria,8,456.548075612307
Ovejeria,9,458.222085223037
Ovejeria,10,459.902232869008
Ovejeria,11,461.588541056347
Ovejeria,12,463.281032373708
Caren,1,445.
Caren,2,446.631666666815
Caren,3,448.269316111409
Caren,4,449.912970270634
Caren,5,451.562651161776
Caren,6,453.218380882853
Caren,7,454.880181612908
Caren,8,456.548075612307
Caren,9,458.222085223037
Caren,10,459.902232869008
Caren,11,461.588541056347
Caren,12,463.281032373708
